Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplaceFirst_StrMatcher_String,28,1,3,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_StrMatcher_String_int_int_int_VaryMatcher,15,1,4,4,0.14849168858305223,0.024661826242437065,0.07531745414003173,0.06405815086731881,0.05439334850131948
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_StrMatcher_String_int_int_int_VaryReplace,17,1,3,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_StrMatcher_String_int_int_int_VaryStartIndex,45,1,6,5,0.14849168858305223,0.024661826242437065,0.0836410397520662,0.08279186431610462,0.05064965605109113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_StrMatcher_String_int_int_int_VaryEndIndex,40,1,5,5,0.14849168858305223,0.024661826242437065,0.0836410397520662,0.08279186431610462,0.05064965605109113
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReplace_StrMatcher_String_int_int_int_VaryCount,23,1,2,2,0.14849168858305223,0.04532443741853299,0.0969080630007926,0.0969080630007926,0.0729502628948073
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testReverse,7,1,5,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testTrim,14,1,6,3,0.14849168858305223,0.04532443741853299,0.09220266343922995,0.08279186431610462,0.05222348880831892
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testStartsWith,11,1,4,2,0.14849168858305223,0.08279186431610462,0.11564177644957843,0.11564177644957843,0.04645679126192315
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testEndsWith,15,1,5,3,0.3440761078691792,0.08279186431610462,0.19178655358944535,0.14849168858305223,0.13591614320682055
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSubSequenceIntInt,11,1,7,6,0.3440761078691792,0.011240118441665507,0.10943100714516193,0.06405815086731881,0.12508446825746186
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testSubstringInt,9,1,7,4,0.14849168858305223,0.024661826242437065,0.07531745414003173,0.06405815086731881,0.05439334850131948
